Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total
4/1,Friday,78.1,66,0.01,"1,704","3,126","4,115","2,552","11,497"
4/2,Saturday,55.0,48.9,0.15,827,"1,646","2,565","1,884","6,922"
4/3,Sunday,39.9,34,0.09,526,"1,232","1,695","1,306","4,759"
4/4,Monday,44.1,33.1,0.47 (S),521,"1,067","1,440","1,307","4,335"
4/5,Tuesday,42.1,26.1,0.00,"1,416","2,617","3,081","2,357","9,471"
4/6,Wednesday,45.0,30,0.00,"1,885","3,329","3,856","2,849","11,919"
4/7,Thursday,57.0,53.1,0.09,"1,276","2,581","3,282","2,457","9,596"
4/8,Friday,46.9,44.1,0.01,"1,982","3,455","4,113","3,194","12,744"
4/9,Saturday,43.0,37.9,0.09,504,997,"1,507","1,502","4,510"
4/10,Sunday,48.9,30.9,0.00,"1,447","2,387","3,132","2,160","9,126"
4/11,Monday,62.1,46,0.01,"2,005","3,791","4,334","3,182","13,312"
4/12,Tuesday,57.0,45,0.20,"1,045","2,178","2,762","2,082","8,067"
4/13,Wednesday,57.0,39.9,0.00,"2,840","5,395","5,995","4,192","18,422"
4/14,Thursday,62.1,44.6,0.00,"2,861","5,309","6,030","4,115","18,315"
4/15,Friday,64.0,44.1,0.00,"2,770","5,072","5,816","3,912","17,570"
4/16,Saturday,66.0,45,0.00,"2,384","4,316","5,624","4,051","16,375"
4/17,Sunday,73.9,46,0.00,"3,147","4,969","5,867","4,197","18,180"
4/18,Monday,81.0,52,0.00,"3,871","6,823","7,432","4,964","23,090"
4/19,Tuesday,71.1,63,0.00,"3,501","6,951","7,834","5,032","23,318"
4/20,Wednesday,68.0,50,0.00,"3,450","6,574","7,639","4,928","22,591"
4/21,Thursday,71.1,50,0.00,"3,436","6,452","7,426","4,813","22,127"
4/22,Friday,78.1,63,T,"2,975","4,907","6,093","3,862","17,837"
4/23,Saturday,70.0,61,0.16,"2,055","3,276","4,856","3,239","13,426"
4/24,Sunday,68.0,48,0.00,"2,798","4,650","5,335","3,957","16,740"
4/25,Monday,66.9,54,0.00,"3,463","5,978","6,845","4,564","20,850"
4/26,Tuesday,60.1,46.9,0.24,"1,997","3,520","4,559","2,929","13,005"
4/27,Wednesday,62.1,46.9,0.00,"3,343","5,606","6,577","4,388","19,914"
4/28,Thursday,57.9,48,0.00,"2,486","4,152","5,336","3,657","15,631"
4/29,Friday,57.0,46.9,0.05,"2,375","4,178","5,053","3,348","14,954"
4/30,Saturday,64.0,48,0.00,"3,199","4,952","5,675","3,606","17,432"
5/1,Sunday,50.0,45,0.16,"2,634","1,525","2,062","1,408","7,629"
5/2,Monday,59.0,46,0.04,"2,505","4,149","4,864","3,575","15,093"
5/3,Tuesday,54.0,51.1,0.61,"1,059","1,986","2,614","1,741","7,400"
5/4,Wednesday,51.1,48.9,0.01,"1,710","2,905","3,797","2,693","11,105"
5/5,Thursday,57.0,46.9,0.00,"2,582","4,196","4,971","3,619","15,368"
5/6,Friday,53.1,48,0.54,652,"1,453","2,122","1,612","5,839"
5/7,Saturday,57.9,48.9,0.00,"1,867","3,157","3,789","2,749","11,562"
5/8,Sunday,64.9,50,0.16,"1,916","2,927","3,948","2,463","11,254"
5/9,Monday,72.0,55,0.00,"3,650","6,591","7,386","4,951","22,578"
5/10,Tuesday,62.1,51.1,0.00,"3,384","6,283","7,335","4,796","21,798"
5/11,Wednesday,73.9,53.1,0.00,"3,883","7,216","8,231","5,327","24,657"
5/12,Thursday,79.0,57.9,0.00,"3,960","7,103","8,333","5,735","25,131"
5/13,Friday,64.9,60.1,0.25,"1,780","3,072","4,229","3,121","12,202"
5/14,Saturday,71.6,60.8,T,"2,556","4,042","5,479","3,951","16,028"
5/15,Sunday,57.2,50,T,"1,738","2,971","3,486","2,696","10,891"
5/16,Monday,66.2,46.4,0.00,"2,907","5,254","5,961","4,016","18,138"
5/17,Tuesday,64.4,55.4,T,"2,812","5,230","6,219","4,344","18,605"
5/18,Wednesday,68.0,53.6,T,"3,309","5,812","6,739","4,603","20,463"
5/19,Thursday,71.1,57,0.00,"3,474","6,214","7,485","4,763","21,936"
5/20,Friday,75.0,55,0.00,"3,976","6,994","7,776","5,221","23,967"
5/21,Saturday,66.0,55,0.04,"1,665","2,864","3,978","2,928","11,435"
5/22,Sunday,69.1,53.1,0.09,"2,117","3,729","4,633","2,956","13,435"
5/23,Monday,77.0,57.9,0.02,"3,928","6,843","7,769","5,135","23,675"
